rec,presence,site,year,month,day,hour,minute,species,songtype
20200301_183000.flac,1,Yat1,2020,3,1,18,30,sp40,Nocturnal Song
20200301_190000.flac,1,Yat1,2020,3,1,19,0,sp40,Nocturnal Song
20200302_180000.flac,1,Yat1,2020,3,2,18,0,sp40,Nocturnal Song
20200302_183000.flac,1,Yat1,2020,3,2,18,30,sp40,Nocturnal Song
20200302_190000.flac,1,Yat1,2020,3,2,19,0,sp40,Nocturnal Song
20200304_180000.flac,1,Yat1,2020,3,4,18,0,sp40,Nocturnal Song
20200304_183000.flac,1,Yat1,2020,3,4,18,30,sp40,Nocturnal Song
20200304_190000.flac,1,Yat1,2020,3,4,19,0,sp40,Nocturnal Song
20200305_180000.flac,1,Yat1,2020,3,5,18,0,sp40,Nocturnal Song
20200305_183000.flac,1,Yat1,2020,3,5,18,30,sp40,Nocturnal Song
20200305_190000.flac,1,Yat1,2020,3,5,19,0,sp40,Nocturnal Song
20200306_180000.flac,1,Yat1,2020,3,6,18,0,sp40,Nocturnal Song
20200306_183000.flac,1,Yat1,2020,3,6,18,30,sp40,Nocturnal Song
20200306_190000.flac,1,Yat1,2020,3,6,19,0,sp40,Nocturnal Song
20200307_180000.flac,1,Yat1,2020,3,7,18,0,sp40,Nocturnal Song
20200307_183000.flac,1,Yat1,2020,3,7,18,30,sp40,Nocturnal Song
20200308_180000.flac,1,Yat1,2020,3,8,18,0,sp40,Nocturnal Song
20200308_183000.flac,1,Yat1,2020,3,8,18,30,sp40,Nocturnal Song
20200308_193000.flac,1,Yat1,2020,3,8,19,30,sp40,Nocturnal Song
20200310_180000.flac,1,Yat1,2020,3,10,18,0,sp40,Nocturnal Song
20200311_183000.flac,1,Yat1,2020,3,11,18,30,sp40,Nocturnal Song
20200312_180000.flac,1,Yat1,2020,3,12,18,0,sp40,Nocturnal Song
20200312_183000.flac,1,Yat1,2020,3,12,18,30,sp40,Nocturnal Song
20200313_190000.flac,1,Yat1,2020,3,13,19,0,sp40,Nocturnal Song
20200313_193000.flac,1,Yat1,2020,3,13,19,30,sp40,Nocturnal Song
20200314_180000.flac,1,Yat1,2020,3,14,18,0,sp40,Nocturnal Song
20200314_183000.flac,1,Yat1,2020,3,14,18,30,sp40,Nocturnal Song
20200316_183000.flac,1,Yat1,2020,3,16,18,30,sp40,Nocturnal Song
20200316_190000.flac,1,Yat1,2020,3,16,19,0,sp40,Nocturnal Song
20200317_183000.flac,1,Yat1,2020,3,17,18,30,sp40,Nocturnal Song
20200318_180000.flac,1,Yat1,2020,3,18,18,0,sp40,Nocturnal Song
20200318_183000.flac,1,Yat1,2020,3,18,18,30,sp40,Nocturnal Song
20200318_190000.flac,1,Yat1,2020,3,18,19,0,sp40,Nocturnal Song
20200319_180000.flac,1,Yat1,2020,3,19,18,0,sp40,Nocturnal Song
20200319_190000.flac,1,Yat1,2020,3,19,19,0,sp40,Nocturnal Song
20200319_193000.flac,1,Yat1,2020,3,19,19,30,sp40,Nocturnal Song
20200319_200000.flac,1,Yat1,2020,3,19,20,0,sp40,Nocturnal Song
20200319_183000.flac,1,Yat1,2020,3,19,18,30,sp40,Nocturnal Song
20200322_180000.flac,1,Yat1,2020,3,22,18,0,sp40,Nocturnal Song
20200322_183000.flac,1,Yat1,2020,3,22,18,30,sp40,Nocturnal Song
20200322_190000.flac,1,Yat1,2020,3,22,19,0,sp40,Nocturnal Song
20200322_193000.flac,1,Yat1,2020,3,22,19,30,sp40,Nocturnal Song
20200325_180000.flac,1,Yat1,2020,3,25,18,0,sp40,Nocturnal Song
20200325_183000.flac,1,Yat1,2020,3,25,18,30,sp40,Nocturnal Song
20200326_180000.flac,1,Yat1,2020,3,26,18,0,sp40,Nocturnal Song
20200326_183000.flac,1,Yat1,2020,3,26,18,30,sp40,Nocturnal Song
20200326_190000.flac,1,Yat1,2020,3,26,19,0,sp40,Nocturnal Song
20200327_180000.flac,1,Yat1,2020,3,27,18,0,sp40,Nocturnal Song
20200327_190000.flac,1,Yat1,2020,3,27,19,0,sp40,Nocturnal Song
20200328_173000.flac,1,Yat1,2020,3,28,17,30,sp40,Nocturnal Song
20200328_180000.flac,1,Yat1,2020,3,28,18,0,sp40,Nocturnal Song
20200328_183000.flac,1,Yat1,2020,3,28,18,30,sp40,Nocturnal Song
20200329_180000.flac,1,Yat1,2020,3,29,18,0,sp40,Nocturnal Song
20200329_183000.flac,1,Yat1,2020,3,29,18,30,sp40,Nocturnal Song
20200329_190000.flac,1,Yat1,2020,3,29,19,0,sp40,Nocturnal Song
20200331_173000.flac,1,Yat1,2020,3,31,17,30,sp40,Nocturnal Song
20200331_183000.flac,1,Yat1,2020,3,31,18,30,sp40,Nocturnal Song
20200331_193000.flac,1,Yat1,2020,3,31,19,30,sp40,Nocturnal Song
20200401_183000.flac,1,Yat1,2020,4,1,18,30,sp40,Nocturnal Song
20200401_190000.flac,1,Yat1,2020,4,1,19,0,sp40,Nocturnal Song
20200402_180000.flac,1,Yat1,2020,4,2,18,0,sp40,Nocturnal Song
20200402_183000.flac,1,Yat1,2020,4,2,18,30,sp40,Nocturnal Song
20200403_180000.flac,1,Yat1,2020,4,3,18,0,sp40,Nocturnal Song
20200403_183000.flac,1,Yat1,2020,4,3,18,30,sp40,Nocturnal Song
20200403_190000.flac,1,Yat1,2020,4,3,19,0,sp40,Nocturnal Song
20200403_193000.flac,1,Yat1,2020,4,3,19,30,sp40,Nocturnal Song
