rec,presence,site,year,month,day,hour,minute,species,songtype
20200301_050000.flac,1,Yat1,2020,3,1,5,0,sp49,Common Song
20200302_053000.flac,1,Yat1,2020,3,2,5,30,sp49,Common Song
20200303_053000.flac,0,Yat1,2020,3,3,5,30,sp49,Common Song
20200304_050000.flac,1,Yat1,2020,3,4,5,0,sp49,Common Song
20200306_053000.flac,1,Yat1,2020,3,6,5,30,sp49,Common Song
20200307_050000.flac,1,Yat1,2020,3,7,5,0,sp49,Common Song
20200308_050000.flac,0,Yat1,2020,3,8,5,0,sp49,Common Song
20200309_050000.flac,0,Yat1,2020,3,9,5,0,sp49,Common Song
20200309_053000.flac,0,Yat1,2020,3,9,5,30,sp49,Common Song
20200310_053000.flac,0,Yat1,2020,3,10,5,30,sp49,Common Song
20200311_050000.flac,0,Yat1,2020,3,11,5,0,sp49,Common Song
20200312_050000.flac,0,Yat1,2020,3,12,5,0,sp49,Common Song
20200313_050000.flac,1,Yat1,2020,3,13,5,0,sp49,Common Song
20200313_053000.flac,0,Yat1,2020,3,13,5,30,sp49,Common Song
20200314_050000.flac,0,Yat1,2020,3,14,5,0,sp49,Common Song
20200315_050000.flac,0,Yat1,2020,3,15,5,0,sp49,Common Song
20200301_000000.flac,1,Yat1,2020,3,1,0,0,sp49,Common Song
20200301_003000.flac,1,Yat1,2020,3,1,0,30,sp49,Common Song
20200301_010000.flac,1,Yat1,2020,3,1,1,0,sp49,Common Song
20200301_013000.flac,1,Yat1,2020,3,1,1,30,sp49,Common Song
20200301_020000.flac,1,Yat1,2020,3,1,2,0,sp49,Common Song
20200301_023000.flac,1,Yat1,2020,3,1,2,30,sp49,Common Song
20200301_030000.flac,1,Yat1,2020,3,1,3,0,sp49,Common Song
20200301_033000.flac,1,Yat1,2020,3,1,3,30,sp49,Common Song
20200301_040000.flac,1,Yat1,2020,3,1,4,0,sp49,Common Song
20200301_043000.flac,1,Yat1,2020,3,1,4,30,sp49,Common Song
20200301_053000.flac,1,Yat1,2020,3,1,5,30,sp49,Common Song
20200301_180000.flac,1,Yat1,2020,3,1,18,0,sp49,Common Song
20200301_183000.flac,1,Yat1,2020,3,1,18,30,sp49,Common Song
20200301_190000.flac,1,Yat1,2020,3,1,19,0,sp49,Common Song
20200301_193000.flac,1,Yat1,2020,3,1,19,30,sp49,Common Song
20200301_200000.flac,1,Yat1,2020,3,1,20,0,sp49,Common Song
20200301_203000.flac,1,Yat1,2020,3,1,20,30,sp49,Common Song
20200301_210000.flac,0,Yat1,2020,3,1,21,0,sp49,Common Song
20200301_213000.flac,1,Yat1,2020,3,1,21,30,sp49,Common Song
20200301_220000.flac,0,Yat1,2020,3,1,22,0,sp49,Common Song
20200301_223000.flac,1,Yat1,2020,3,1,22,30,sp49,Common Song
20200301_230000.flac,1,Yat1,2020,3,1,23,0,sp49,Common Song
20200301_233000.flac,1,Yat1,2020,3,1,23,30,sp49,Common Song
20200302_000000.flac,1,Yat1,2020,3,2,0,0,sp49,Common Song
20200302_003000.flac,1,Yat1,2020,3,2,0,30,sp49,Common Song
20200302_010000.flac,1,Yat1,2020,3,2,1,0,sp49,Common Song
20200302_013000.flac,1,Yat1,2020,3,2,1,30,sp49,Common Song
20200302_020000.flac,1,Yat1,2020,3,2,2,0,sp49,Common Song
20200302_023000.flac,1,Yat1,2020,3,2,2,30,sp49,Common Song
20200302_030000.flac,1,Yat1,2020,3,2,3,0,sp49,Common Song
