rec,presence,site,year,month,day,hour,minute,species,songtype
20200301_050000.flac,0,Yat1,2020,3,1,5,0,sp47,Common Song
20200301_073000.flac,0,Yat1,2020,3,1,7,30,sp47,Common Song
20200301_090000.flac,0,Yat1,2020,3,1,9,0,sp47,Common Song
20200302_053000.flac,0,Yat1,2020,3,2,5,30,sp47,Common Song
20200302_073000.flac,0,Yat1,2020,3,2,7,30,sp47,Common Song
20200302_083000.flac,0,Yat1,2020,3,2,8,30,sp47,Common Song
20200302_090000.flac,0,Yat1,2020,3,2,9,0,sp47,Common Song
20200303_053000.flac,0,Yat1,2020,3,3,5,30,sp47,Common Song
20200303_063000.flac,0,Yat1,2020,3,3,6,30,sp47,Common Song
20200303_080000.flac,0,Yat1,2020,3,3,8,0,sp47,Common Song
20200303_090000.flac,0,Yat1,2020,3,3,9,0,sp47,Common Song
20200304_050000.flac,0,Yat1,2020,3,4,5,0,sp47,Common Song
20200304_060000.flac,0,Yat1,2020,3,4,6,0,sp47,Common Song
20200304_073000.flac,0,Yat1,2020,3,4,7,30,sp47,Common Song
20200304_090000.flac,0,Yat1,2020,3,4,9,0,sp47,Common Song
20200305_060000.flac,0,Yat1,2020,3,5,6,0,sp47,Common Song
20200305_073000.flac,0,Yat1,2020,3,5,7,30,sp47,Common Song
20200305_083000.flac,0,Yat1,2020,3,5,8,30,sp47,Common Song
20200305_090000.flac,0,Yat1,2020,3,5,9,0,sp47,Common Song
20200306_053000.flac,0,Yat1,2020,3,6,5,30,sp47,Common Song
20200306_060000.flac,0,Yat1,2020,3,6,6,0,sp47,Common Song
20200306_070000.flac,0,Yat1,2020,3,6,7,0,sp47,Common Song
20200306_083000.flac,0,Yat1,2020,3,6,8,30,sp47,Common Song
20200307_050000.flac,0,Yat1,2020,3,7,5,0,sp47,Common Song
20200307_060000.flac,0,Yat1,2020,3,7,6,0,sp47,Common Song
20200307_063000.flac,0,Yat1,2020,3,7,6,30,sp47,Common Song
20200307_073000.flac,0,Yat1,2020,3,7,7,30,sp47,Common Song
20200307_083000.flac,0,Yat1,2020,3,7,8,30,sp47,Common Song
20200307_090000.flac,0,Yat1,2020,3,7,9,0,sp47,Common Song
20200308_050000.flac,0,Yat1,2020,3,8,5,0,sp47,Common Song
20200308_060000.flac,0,Yat1,2020,3,8,6,0,sp47,Common Song
20200308_070000.flac,0,Yat1,2020,3,8,7,0,sp47,Common Song
20200308_090000.flac,0,Yat1,2020,3,8,9,0,sp47,Common Song
20200309_050000.flac,0,Yat1,2020,3,9,5,0,sp47,Common Song
20200309_053000.flac,0,Yat1,2020,3,9,5,30,sp47,Common Song
20200309_083000.flac,0,Yat1,2020,3,9,8,30,sp47,Common Song
20200309_090000.flac,0,Yat1,2020,3,9,9,0,sp47,Common Song
