id,recording,site,year,month,day,hour,min,species,songtype,validated
84962007,20200714_190000.flac,Yat1,2020,7,14,19,0,sp46,Common Song,present
84962010,20200822_190000.flac,Yat1,2020,8,22,19,0,sp46,Common Song,present
84962022,20200326_210000.flac,Yat1,2020,3,26,21,0,sp46,Common Song,present
84962034,20200402_023000.flac,Yat1,2020,4,2,2,30,sp46,Common Song,present
84962039,20200619_123000.flac,Yat1,2020,6,19,12,30,sp46,Common Song,not present
84962045,20200714_193000.flac,Yat1,2020,7,14,19,30,sp46,Common Song,present
84962048,20200623_223000.flac,Yat1,2020,6,23,22,30,sp46,Common Song,present
84962049,20201005_093000.flac,Yat1,2020,10,5,9,30,sp46,Common Song,not present
84962054,20200326_213000.flac,Yat1,2020,3,26,21,30,sp46,Common Song,present
84962067,20200628_203000.flac,Yat1,2020,6,28,20,30,sp46,Common Song,present
84962073,20200402_030000.flac,Yat1,2020,4,2,3,0,sp46,Common Song,present
84962076,20200714_200000.flac,Yat1,2020,7,14,20,0,sp46,Common Song,present
84962082,20200326_220000.flac,Yat1,2020,3,26,22,0,sp46,Common Song,present
84962101,20200402_033000.flac,Yat1,2020,4,2,3,30,sp46,Common Song,present
84962115,20200326_223000.flac,Yat1,2020,3,26,22,30,sp46,Common Song,present
84962119,20200822_210000.flac,Yat1,2020,8,22,21,0,sp46,Common Song,present
84962126,20200708_070000.flac,Yat1,2020,7,8,7,0,sp46,Common Song,not present
84962130,20200420_230000.flac,Yat1,2020,4,20,23,0,sp46,Common Song,present
84962133,20200427_033000.flac,Yat1,2020,4,27,3,30,sp46,Common Song,present
84962140,20200624_000000.flac,Yat1,2020,6,24,0,0,sp46,Common Song,present
84962143,20200326_230000.flac,Yat1,2020,3,26,23,0,sp46,Common Song,present
84962160,20200714_210000.flac,Yat1,2020,7,14,21,0,sp46,Common Song,present
84962166,20200402_043000.flac,Yat1,2020,4,2,4,30,sp46,Common Song,present
84962178,20200326_233000.flac,Yat1,2020,3,26,23,30,sp46,Common Song,present
84962189,20200714_213000.flac,Yat1,2020,7,14,21,30,sp46,Common Song,present
84962193,20200708_080000.flac,Yat1,2020,7,8,8,0,sp46,Common Song,not present
84962199,20200822_223000.flac,Yat1,2020,8,22,22,30,sp46,Common Song,present
84962207,20200825_010000.flac,Yat1,2020,8,25,1,0,sp46,Common Song,present
84962214,20200327_000000.flac,Yat1,2020,3,27,0,0,sp46,Common Song,present
84962215,20200619_130000.flac,Yat1,2020,6,19,13,0,sp46,Common Song,not present
84962218,20200714_220000.flac,Yat1,2020,7,14,22,0,sp46,Common Song,present
84962228,20200822_230000.flac,Yat1,2020,8,22,23,0,sp46,Common Song,present
84962246,20200327_003000.flac,Yat1,2020,3,27,0,30,sp46,Common Song,present
84962248,20200619_133000.flac,Yat1,2020,6,19,13,30,sp46,Common Song,not present
84962252,20200714_223000.flac,Yat1,2020,7,14,22,30,sp46,Common Song,present
84962266,20200822_233000.flac,Yat1,2020,8,22,23,30,sp46,Common Song,present
84962275,20200810_090000.flac,Yat1,2020,8,10,9,0,sp46,Common Song,not present
84962277,20200728_213000.flac,Yat1,2020,7,28,21,30,sp46,Common Song,present
84962283,20200414_190000.flac,Yat1,2020,4,14,19,0,sp46,Common Song,present
